extractor_version,source_file,session_id,raw_label,bot_subclass,label,trust_score,ja4_digest_present,ja4_consistency,browser,ja4,raw_userAgent,ua_length,mobile_vs_desktop,ua_is_chrome,ua_is_firefox,ua_is_edge,ua_is_safari,ua_is_opera,accept_lang_present,accept_lang_length,accept_lang_comma_count,accept_lang_q_count,sec_ch_ua_present,sec_ch_ua_length,forwarded_for_count,browser_header_score,ja4_unknown,ja4_bot_tls,ja4_modern_tls,ja4_length,ja4_prefix,ja4_entropy_proxy,ja4_is_modern,ja4_is_legacy,ja4_entropy,ja4_match,ua_ja4_mismatch,is_edge_observed,sec_ch_ua_suspicion_score,header_completeness_score,network_consistency_score,cpu_cores,device_memory,cpu_cores_missing,device_memory_missing,platform,platform_is_windows,platform_is_mac,platform_is_linux,platform_is_mobile,device_platform_mismatch,move_count,key_event_count,scroll_count,total_events,session_duration,mouse_density,key_density,path_length,straight_line_distance,straightness_ratio,mean_velocity,std_velocity,max_velocity,min_velocity,median_velocity,mean_acceleration,std_acceleration,pause_count,idle_time_mean,direction_changes,mouse_entropy,acceleration_entropy,key_press_count,avg_dwell_time,std_dwell_time,avg_flight_time,std_flight_time,key_overlap_count,backspace_count,has_backspace,multi_key_overlap,backspace_ratio,unique_dwell_ratio,typing_speed_wpm,unique_key_ratio,mouse_to_key_ratio,events_per_second,click_count,click_interval_mean,click_hold_mean,pause_ratio,scroll_to_move_ratio,_weak_signal_flag,browser_encoded,ja4_prefix_encoded,platform_encoded,bot_subclass_encoded
9.0,0,cdd8337d-2e9b-4fde-ba73-928a0c83b318,adversarial_bot,adversarial_bot,1,0.48996772698717195,1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.5162.172 Safari/537.36",t13d1516h2_8daaf6152771_d8a2da3f94cd,masked,106,0,1,0,0,0,0,1,2,2,2,1,2,1,3,0,0,1,36,t13d1516h2,0.4444444444444444,1,0,3.7817536555801703,1,0,0,0,2,2,4.0,8.0,0,0,Linux x86_64,0,0,1,0,0,121,24,0,145,5929.0,0.02040816326530612,0.004047900151796255,4.474454968144034,0.22820105170660368,0.051000860067044,0.0033453050856696643,0.004709082330371556,0.03025261641577468,8.417937871268805e-06,0.0016484849294015292,0.0034482309258047957,0.004799423501571438,0,0.0,79,1.5941608169052914,1.8653366246815923,12,89.25,58.54787926702953,360.8181818181818,358.80858867338327,3,2,1,1,0.16666666666666666,1.0,24.287400910777535,0.9166666666666666,9.307692307692308,24.456063417102378,12,360.8181818181818,89.25,0.0,0.0,1,198,4,2,0
9.0,0,450bb5c1-264e-4a0a-8173-8d8c0a89958e,adversarial_bot,adversarial_bot,1,0.5570740295245612,1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6619.53 Safari/537.36",t13d1516h2_8daaf6152771_d8a2da3f94cd_b2,masked,105,0,1,0,0,0,0,1,2,2,2,1,2,1,3,0,0,1,39,t13d1516h2,0.4358974358974359,1,0,3.850167130374118,1,0,0,0,2,2,4.0,16.0,0,0,Linux x86_64,0,0,1,0,0,111,38,0,149,6946.0,0.015980420385833572,0.005470774546501584,2.2919375103263393,0.21788299612406653,0.09506498110982227,0.0017546412667274114,0.0030212299091210942,0.019583554963284885,1.1588680712710835e-05,0.0005910357537627186,0.0020133804457683176,0.0035159194447774694,0,0.0,72,1.355115206306662,1.432810320284248,19,135.89473684210526,84.92900734194791,272.94444444444446,236.63391140048242,6,2,1,1,0.10526315789473684,0.9473684210526315,32.8246472790095,0.6842105263157895,5.55,21.45119493233516,19,272.94444444444446,135.89473684210526,0.0,0.0,1,201,4,2,0
9.0,0,d9b0ed70-5527-415e-ad6e-779ce528fd2c,adversarial_bot,adversarial_bot,1,0.7555162850787935,1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.4128.63 Safari/537.36",t13d1517h2_8daaf6152771_b6f405a00624,masked,121,0,1,0,0,0,0,1,2,2,2,1,2,1,3,0,0,1,36,t13d1517h2,0.4444444444444444,1,0,3.8327315156807114,1,0,0,0,2,2,10.0,16.0,0,0,MacIntel,0,1,0,0,0,129,15,0,144,2976.0,0.04334677419354839,0.005040322580645161,3.07482228480507,0.4480931711151153,0.14572977870281126,0.0027908363241608064,0.004356229245668896,0.03258878471021725,1.0638297872340435e-05,0.0012044177987349468,0.0029957699327937317,0.0046045423333487285,0,0.0,78,1.4115279792670337,1.5448527607722193,8,102.28571428571415,65.30306115273898,341.4285714285714,269.1063821204529,1,0,0,1,0.0,1.0,32.25806451612903,1.0,14.333333333333334,48.38709677419355,8,341.4285714285714,102.28571428571415,0.0,0.0,1,22,5,3,0
9.0,0,72e43f95-1bf0-44f2-95b8-cf43a0784ea4,adversarial_bot,adversarial_bot,1,1.0,1,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.2460.152 Safari/537.36 Edg/132.0.2610.36",t13d8752h2_1f3e28fe63da_5cbbdc8dc0c5,masked,134,0,0,0,1,0,0,1,2,2,2,1,2,1,3,0,0,1,36,t13d8752h2,0.4722222222222222,1,0,3.919381945646371,1,0,0,0,2,2,8.0,8.0,0,0,Win32,1,0,0,0,0,205,28,0,233,19506.0,0.010509586793807034,0.001435455757202912,5.354653371295975,0.27649032532803025,0.05163552262975183,0.0005040838930165829,0.0007890026692518822,0.007465618330969776,2.7911186781231743e-06,0.000278643952252543,0.000543915017046303,0.0008625375303249682,16,375.375,118,1.358827620750512,1.486044586424031,14,236.92857142857142,147.39328550597173,993.5384615384615,921.4365553003565,4,2,1,1,0.14285714285714285,0.7142857142857143,8.61273454321747,0.9285714285714286,13.666666666666666,11.945042551009946,14,993.5384615384615,236.92857142857142,0.07804878048780488,0.0,1,95,31,4,0
9.0,0,0de6177b-df52-4da0-8ba3-4afa5b33968b,adversarial_bot,adversarial_bot,1,0.9365786812602017,1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.5251.127 Safari/537.36",t13d1516h2_8daaf6152771_d8a2da3f94cd_80,masked,106,0,1,0,0,0,0,1,2,2,2,1,2,1,3,0,0,1,39,t13d1516h2,0.4358974358974359,1,0,3.8627370020580427,1,0,0,0,2,2,4.0,4.0,0,0,Linux x86_64,0,0,1,0,0,101,82,0,183,57464.0,0.001757622163441459,0.0014269803703188084,2.03549952587561,0.3149910633652961,0.15474877756593755,0.00034855661288249234,0.000421516766143651,0.002429906262481012,9.445532239437268e-06,0.0001851841301731976,0.00030115615640228654,0.0003925675294618914,4,498.0,66,1.8427373833293519,1.8198666648479296,41,286.6341463414634,136.67582370429264,1327.1,1158.718749308908,7,4,1,1,0.0975609756097561,0.4634146341463415,8.56188222191285,0.5121951219512195,2.4047619047619047,3.1846025337602675,41,1327.1,286.6341463414634,0.039603960396039604,0.0,1,256,4,2,0
9.0,0,dd70610e-a56c-47c6-9409-4808198c68ef,adversarial_bot,adversarial_bot,1,0.7326200149274253,1,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.6797.182 Safari/537.36 Edg/135.0.1153.69",t13d1517h2_8daaf6152771_b6f405a00624,masked,134,0,0,0,1,0,0,1,2,2,2,1,2,1,3,0,0,1,36,t13d1517h2,0.4444444444444444,1,0,3.8327315156807114,1,0,0,0,2,2,12.0,16.0,0,0,Win32,1,0,0,0,0,254,60,0,314,6761.999999999999,0.03756285122744751,0.008873114463176577,5.364662894932386,0.723927468742553,0.13494370157468713,0.0027848278531420554,0.003929639654065753,0.028991216342195793,1.923273145405336e-05,0.0013743685418725609,0.002809139787676616,0.0037563270415134366,0,0.0,155,1.8884038279287623,2.122292074201884,30,69.36666666666666,39.82083485926543,173.551724137931,215.46926914366054,9,4,1,1,0.13333333333333333,0.8666666666666667,53.23868677905946,0.5666666666666667,8.193548387096774,46.43596569062409,30,173.551724137931,69.36666666666666,0.0,0.0,1,170,5,4,0
9.0,0,93756580-e421-43fc-b87a-61c3318d6d78,adversarial_bot,adversarial_bot,1,0.7057262827300724,1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.2237.72 Safari/537.36",t12d1208h2_9e6316305715_2dae41c691ec,masked,105,0,1,0,0,0,0,1,2,2,2,1,2,1,3,0,0,1,36,t12d1208h2,0.4722222222222222,1,0,3.863826390090815,1,0,0,0,2,2,4.0,16.0,0,0,Linux x86_64,0,0,1,0,0,42,4,0,46,3436.0,0.012223515715948778,0.0011641443538998836,1.251292760611128,0.7018687982807043,0.5609149356365759,0.0011118436465131281,0.001505339596918038,0.005607480022215549,8.805031446541307e-06,0.0006502616678587104,0.0012949647968666406,0.0016654060123804807,0,0.0,27,1.4761654177747394,1.6123790309270212,2,120.5,25.5,2289.0,0.0,0,0,0,0,0.0,1.0,6.984866123399302,1.0,14.0,13.387660069848662,2,2289.0,120.5,0.0,0.0,1,224,0,2,0
9.0,0,13f20a64-27bb-4d1f-a0f5-aa642331377f,adversarial_bot,adversarial_bot,1,0.9487011525583986,1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.2149.150 Safari/537.36",t13d1516h2_8daaf6152771_d8a2da3f94cd,masked,122,0,1,0,0,0,0,1,2,2,2,1,2,1,3,0,0,1,36,t13d1516h2,0.4444444444444444,1,0,3.7817536555801703,1,0,0,0,2,2,8.0,16.0,0,0,MacIntel,0,1,0,0,0,213,16,0,229,15161.0,0.014049205197546336,0.001055339357562166,4.251036891382083,0.4748179124675058,0.11169461112654203,0.0006060300342763295,0.0007287832246835954,0.003828002089863595,5.180348258309736e-06,0.00032275702526839,0.0005770727529800556,0.0006905874387549912,1,328.0,121,2.5394505453690224,2.633250224325027,8,308.0,100.30079760400712,602.8571428571429,266.5329937075218,1,0,0,1,0.0,0.625,6.332036145372998,1.0,23.666666666666668,15.104544555108502,8,602.8571428571429,308.0,0.004694835680751174,0.0,1,16,4,3,0
9.0,0,918c46f0-5e2b-42e7-a7ca-73090b678e31,adversarial_bot,adversarial_bot,1,1.0,1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.1599.33 Safari/537.36",t13d1901h2_1f2d5634639f_4ed2e5c03cea_46,masked,105,0,1,0,0,0,0,1,2,2,2,1,2,1,3,0,0,1,39,t13d1901h2,0.41025641025641024,1,0,3.887214398016587,1,0,0,0,2,2,4.0,8.0,0,0,Linux x86_64,0,0,1,0,0,105,76,0,181,10342.0,0.010152775091858442,0.0073486753045832525,1.7781044058842101,0.7063010689500617,0.39722137047336914,0.0018947904359654622,0.003408869729565442,0.02102505945294806,8.669094353008238e-06,0.0003060786925326377,0.0018447886297547978,0.0034670790889382752,0,0.0,78,1.3946998682860712,1.473404065143664,38,97.97368421052632,59.476880445087446,246.6216216216216,223.30143865519196,6,6,1,1,0.15789473684210525,0.7631578947368421,44.09205182749952,0.4473684210526316,2.6923076923076925,17.501450396441694,38,246.6216216216216,97.97368421052632,0.0,0.0,1,245,8,2,0
9.0,0,65e099bf-a00d-4590-9946-ad54987c0c06,adversarial_bot,adversarial_bot,1,0.5252991602968707,1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.3856.80 Safari/537.36",t13d1516h2_8daaf6152771_d8a2da3f94cd,masked,121,0,1,0,0,0,0,1,2,2,2,1,2,1,3,0,0,1,36,t13d1516h2,0.4444444444444444,1,0,3.7817536555801703,1,0,0,0,2,2,10.0,16.0,0,0,MacIntel,0,1,0,0,0,177,24,0,201,3891.0,0.04548959136468774,0.006168080185042405,3.1658106757240314,0.9798545045056435,0.309511403198976,0.0016462407695663041,0.0024428013558631585,0.01858697273779555,1.3189435880150282e-05,0.0005732943004931185,0.0015846899464731544,0.0024811132922531324,0,0.0,128,1.6326187938842533,1.7090380020518652,12,145.0833333333333,76.16589168095882,266.99999999999994,187.8026042998823,4,0,0,1,0.0,1.0,37.00848111025443,0.9166666666666666,13.615384615384615,51.657671549730146,12,266.99999999999994,145.0833333333333,0.0,0.0,1,57,4,3,0
